[INFO - 2025-10-25 18:38:19,963 - MainThread] 2011 links from 'out/uol_links/2016/1-2016.txt'.
[ERROR - 2025-10-25 18:38:20,212 - Worker_1] Status code == 403 for http://balanacesta.blogosfera.uol.com.br/2016/01/01/o-ano-comeca-com-o-final-de-kobe-bryant/, skipping...
[ERROR - 2025-10-25 18:38:23,373 - Worker_0] Status code == 403 for http://nagradedomma.blogosfera.uol.com.br/2016/01/01/rafael-dos-anjos-concorre-com-mcgregor-no-oscar-do-mma-veja-a-lista/, skipping...
[ERROR - 2025-10-25 18:38:25,063 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/efe/2016/01/01/ataque-taliba-a-restaurante-frances-em-cabul-deixa-2-mortos-e-15-feridos.htm, skipping...
[ERROR - 2025-10-25 18:38:27,147 - Worker_1] Status code == 403 for http://tecnologia.uol.com.br/noticias/redacao/2016/01/01/john-travolta-jessica-e-vestido-azul-2015-foi-o-ano-dos-gifs-animaidos.htm, skipping...
[ERROR - 2025-10-25 18:38:27,526 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2016/01/01/prancha-adaptada-permite-que-surfista-paraplegico-volte-ao-mar.htm, skipping...
[ERROR - 2025-10-25 18:38:31,296 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/efe/2016/01/01/dubai-extingue-totalmente-incendio-em-hotel-e-investiga-suas-causas.htm, skipping...
[ERROR - 2025-10-25 18:38:31,519 - Worker_2] Status code == 403 for http://noticias.uol.com.br/album/album-do-dia/2016/01/01/imagens-do-dia---1-de-janeiro-de-2016.htm?abrefoto=17, skipping...
[ERROR - 2025-10-25 18:38:31,711 - Worker_0] Status code == 403 for http://noticias.uol.com.br/internacional/ultimas-noticias/le-monde/2016/01/01/inseminacao-artificial-e-desafio-juridico-para-casais-de-lesbicas-na-franca.htm, skipping...
[ERROR - 2025-10-25 18:38:33,226 - Worker_4] Status code == 403 for http://noticias.uol.com.br/album/album-do-dia/2016/01/01/imagens-do-dia---1-de-janeiro-de-2016.htm?abrefoto=15, skipping...
[ERROR - 2025-10-25 18:38:35,921 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2016/01/01/apos-reveillon-6942-toneladas-de-residuos-sao-recolhidas-no-rio.htm, skipping...
[ERROR - 2025-10-25 18:38:39,845 - Worker_4] Status code == 403 for http://robertosadovski.blogosfera.uol.com.br/2016/01/01/14-nomes-para-ficar-de-olho-no-cinema-em-2016/, skipping...
[ERROR - 2025-10-25 18:38:40,411 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2016/01/01/planos-sao-obrigados-a-cobrir-testes-rapidos-de-dengue-e-chikungunya.htm, skipping...
[ERROR - 2025-10-25 18:39:05,201 - Worker_3] Status code == 404 for http://tvjornal.ne10.uol.com.br/noticia/programa/tv-jornal-meio-dia/2016/01/01/primeiro-bebe-do-recife-de-2016-nasce-dentro-de-carro-por-falta-de-atendimento-22506.php, skipping...
[ERROR - 2025-10-25 18:39:06,570 - Worker_0] Status code == 403 for http://noticias.uol.com.br/ciencia/ultimas-noticias/redacao/2016/01/01/clique-ciencia-andar-descalco-provoca-resfriado-ou-e-papo-de-vo.htm, skipping...
[ERROR - 2025-10-25 18:39:25,796 - Worker_2] Status code == 404 for http://esporte.uol.com.br/f1/ultimas-noticias/2016/01/02/alonso-ve-mclaren-pelo-menos-dois-segundos-mais-veloz-em-2016.htm, skipping...
[ERROR - 2025-10-25 18:39:44,751 - Worker_2] Status code == 403 for http://pvc.blogosfera.uol.com.br/2016/01/02/o-grande-injusticado-de-2015-carlitos-tevez/, skipping...
[ERROR - 2025-10-25 18:39:49,676 - Worker_4] Status code == 403 for http://blogdomenon.blogosfera.uol.com.br/2016/01/02/neymar-seja-corajoso-como-o-aranha/, skipping...
[ERROR - 2025-10-25 18:39:51,359 - Worker_2] Status code == 403 for http://uolesporte.blogosfera.uol.com.br/2016/01/02/ring-girl-do-ufc-assiste-a-jogo-do-barca-apos-passar-ano-novo-com-neymar/, skipping...
[ERROR - 2025-10-25 18:40:03,497 - Worker_3] Failed to connect with http://carsale.uol.com.br/ultimas/2016/01/01/bumblebee-o-chevrolet-camaro-do-transformers-sera-leiloado-veja-fotos/ after 3 attempts, skipping...
[ERROR - 2025-10-25 18:40:04,735 - Worker_2] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/efe/2016/01/02/manifestantes-incendeiam-embaixada-da-arabia-saudita-no-ira.htm, skipping...
[ERROR - 2025-10-25 18:40:12,792 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2016/01/02/educacao-perde-r-105-bi-em-2015.htm, skipping...
[ERROR - 2025-10-25 18:40:17,154 - Worker_1] Status code == 403 for http://blogdosakamoto.blogosfera.uol.com.br/2016/01/02/para-comemorar-a-chegada-de-2016-mais-uma-chacina-em-sao-paulo/, skipping...
[ERROR - 2025-10-25 18:40:18,065 - Worker_3] Status code == 403 for http://noticias.uol.com.br/album/album-do-dia/2016/01/02/imagens-do-dia---2-de-janeiro-de-2016.htm?abrefoto=13, skipping...
[ERROR - 2025-10-25 18:40:21,413 - Worker_1] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/agencia-estado/2016/01/02/lema-expos-disputa-no-governo.htm, skipping...
[ERROR - 2025-10-25 18:40:22,211 - Worker_3] Status code == 403 for http://noticias.uol.com.br/ultimas-noticias/bbc/2016/01/02/novo-metodo-promete-facilitar-busca-por-vida-extraterrestre.htm, skipping...
