[INFO - 2025-10-16 20:11:03,484 - MainThread] 12 file(s) to process.
[INFO - 2025-10-16 20:11:03,486 - MainThread] 1541 links from 'out/uol_links/2012/2-2012.txt'.
[INFO - 2025-10-16 20:11:03,494 - MainThread] 1546 links from 'out/uol_links/2012/3-2012.txt'.
[INFO - 2025-10-16 20:11:03,502 - MainThread] 1183 links from 'out/uol_links/2012/8-2012.txt'.
[INFO - 2025-10-16 20:11:03,508 - MainThread] 1594 links from 'out/uol_links/2012/9-2012.txt'.
[INFO - 2025-10-16 20:11:03,516 - MainThread] 1985 links from 'out/uol_links/2012/10-2012.txt'.
[INFO - 2025-10-16 20:11:03,523 - MainThread] 1896 links from 'out/uol_links/2012/11-2012.txt'.
[INFO - 2025-10-16 20:11:03,530 - MainThread] 1842 links from 'out/uol_links/2012/5-2012.txt'.
[INFO - 2025-10-16 20:11:03,537 - MainThread] 1273 links from 'out/uol_links/2012/4-2012.txt'.
[INFO - 2025-10-16 20:11:03,543 - MainThread] 1825 links from 'out/uol_links/2012/12-2012.txt'.
[INFO - 2025-10-16 20:11:03,562 - MainThread] 1166 links from 'out/uol_links/2012/1-2012.txt'.
[INFO - 2025-10-16 20:11:03,568 - MainThread] 1993 links from 'out/uol_links/2012/6-2012.txt'.
[INFO - 2025-10-16 20:11:03,576 - MainThread] 1881 links from 'out/uol_links/2012/7-2012.txt'.
[ERROR - 2025-10-16 20:11:03,626 - Worker_1] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2012/01/31/vazamento-de-gas-intoxica-funcionarios-de-frigorifico-no-mato-grosso-do-sul-4-morreram.htm, skipping...
[ERROR - 2025-10-16 20:11:03,629 - Worker_3] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2012/01/31/sao-jose-dos-campos-sp-comeca-a-distribuir-aluguel-social-as-familias-do-pinheirinho.htm, skipping...
[ERROR - 2025-10-16 20:11:03,684 - Worker_2] Status code == 404 for http://estilo.uol.com.br/ultimas-noticias/redacao/2012/01/31/uol-ganha-novo-conteudo-feminino-em-parceria-com-a-discovery-home--health.htm, skipping...
[ERROR - 2025-10-16 20:11:03,716 - Worker_0] Status code == 403 for http://josiasdesouza.blogosfera.uol.com.br/2012/01/31/uniao-tenta-atrair-estados-para-pacto-anticrack/, skipping...
[ERROR - 2025-10-16 20:11:12,055 - Worker_2] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2012/01/31/vitimas-de-vazamento-de-gas-em-ms-sao-levadas-para-hospital-de-presidente-prudente-sp.htm, skipping...
[ERROR - 2025-10-16 20:11:12,444 - Worker_0] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2012/01/31/falha-eletrica-causa-explosao-e-assusta-passageiros-no-metro-de-sao-paulo.htm, skipping...
[ERROR - 2025-10-16 20:11:13,711 - Worker_3] Failed to connect with http://virgula.uol.com.br/ver/album/inacreditavel/2012/01/31/18599-os-piores-penteados-feitos-em-animais after 3 attempts, skipping...
[ERROR - 2025-10-16 20:11:15,115 - Worker_4] Status code == 403 for http://uolesporte.blogosfera.uol.com.br/2012/01/31/jogador-tenta-salvar-bola-na-lateral-e-faz-cesta-impressionante-contra-assista/, skipping...
[ERROR - 2025-10-16 20:11:16,232 - Worker_2] Status code == 403 for http://mauriciostycer.blogosfera.uol.com.br/2012/01/31/record-faz-piada-com-vitoria-de-davi-sobre-golias-globo-no-rio/, skipping...
[ERROR - 2025-10-16 20:11:16,591 - Worker_0] Status code == 403 for http://economia.uol.com.br/cotacoes/ultimas-noticias/2012/01/31/bovespa-ganha-mais-de-11-em-janeiro-e-ultrapassa-63-mil-pontos-dolar-cai-65.jhtm, skipping...
[ERROR - 2025-10-16 20:11:18,077 - Worker_1] Failed to connect with http://idgnow.uol.com.br/seguranca/2012/01/31/ataques-contra-bancos-nao-afetam-seguranca-do-internet-banking after 3 attempts, skipping...
[ERROR - 2025-10-16 20:11:19,832 - Worker_3] Status code == 403 for http://economia.uol.com.br/ultimas-noticias/redacao/2012/01/31/carregar-notas-grandes-no-bolso-ajuda-a-economizar.jhtm, skipping...
[ERROR - 2025-10-16 20:11:22,828 - Worker_1] Status code == 404 for http://esporte.uol.com.br/f1/ultimas-noticias/2012/01/31/tony-kanaan-confirma-mais-um-dia-de-testes-com-rubens-barrichello-nos-estados-unidos.htm, skipping...
[ERROR - 2025-10-16 20:11:24,808 - Worker_2] Status code == 403 for http://noticias.uol.com.br/cotidiano/ultimas-noticias/2012/01/31/policia-investiga-atuacao-da-guarda-civil-no-pinheirinho-e-pericia-armas-de-fogo.htm, skipping...
