year,month,links
2020,1,"[""https://web.archive.org/web/20200101/www.uol.com.br"", ""https://web.archive.org/web/20200102/www.uol.com.br"", ""https://web.archive.org/web/20200103/www.uol.com.br"", ""https://web.archive.org/web/20200104/www.uol.com.br"", ""https://web.archive.org/web/20200105/www.uol.com.br"", ""https://web.archive.org/web/20200106/www.uol.com.br"", ""https://web.archive.org/web/20200107/www.uol.com.br"", ""https://web.archive.org/web/20200108/www.uol.com.br"", ""https://web.archive.org/web/20200109/www.uol.com.br"", ""https://web.archive.org/web/20200110/www.uol.com.br"", ""https://web.archive.org/web/20200111/www.uol.com.br"", ""https://web.archive.org/web/20200112/www.uol.com.br"", ""https://web.archive.org/web/20200113/www.uol.com.br"", ""https://web.archive.org/web/20200114/www.uol.com.br"", ""https://web.archive.org/web/20200115/www.uol.com.br"", ""https://web.archive.org/web/20200116/www.uol.com.br"", ""https://web.archive.org/web/20200117/www.uol.com.br"", ""https://web.archive.org/web/20200118/www.uol.com.br"", ""https://web.archive.org/web/20200119/www.uol.com.br"", ""https://web.archive.org/web/20200120/www.uol.com.br"", ""https://web.archive.org/web/20200121/www.uol.com.br"", ""https://web.archive.org/web/20200122/www.uol.com.br"", ""https://web.archive.org/web/20200123/www.uol.com.br"", ""https://web.archive.org/web/20200124/www.uol.com.br"", ""https://web.archive.org/web/20200125/www.uol.com.br"", ""https://web.archive.org/web/20200126/www.uol.com.br"", ""https://web.archive.org/web/20200127/www.uol.com.br"", ""https://web.archive.org/web/20200128/www.uol.com.br"", ""https://web.archive.org/web/20200129/www.uol.com.br"", ""https://web.archive.org/web/20200130/www.uol.com.br"", ""https://web.archive.org/web/20200131/www.uol.com.br""]"
2020,2,"[""https://web.archive.org/web/20200201/www.uol.com.br"", ""https://web.archive.org/web/20200202/www.uol.com.br"", ""https://web.archive.org/web/20200203/www.uol.com.br"", ""https://web.archive.org/web/20200204/www.uol.com.br"", ""https://web.archive.org/web/20200205/www.uol.com.br"", ""https://web.archive.org/web/20200206/www.uol.com.br"", ""https://web.archive.org/web/20200207/www.uol.com.br"", ""https://web.archive.org/web/20200208/www.uol.com.br"", ""https://web.archive.org/web/20200209/www.uol.com.br"", ""https://web.archive.org/web/20200210/www.uol.com.br"", ""https://web.archive.org/web/20200211/www.uol.com.br"", ""https://web.archive.org/web/20200212/www.uol.com.br"", ""https://web.archive.org/web/20200213/www.uol.com.br"", ""https://web.archive.org/web/20200214/www.uol.com.br"", ""https://web.archive.org/web/20200215/www.uol.com.br"", ""https://web.archive.org/web/20200216/www.uol.com.br"", ""https://web.archive.org/web/20200217/www.uol.com.br"", ""https://web.archive.org/web/20200218/www.uol.com.br"", ""https://web.archive.org/web/20200219/www.uol.com.br"", ""https://web.archive.org/web/20200220/www.uol.com.br"", ""https://web.archive.org/web/20200221/www.uol.com.br"", ""https://web.archive.org/web/20200222/www.uol.com.br"", ""https://web.archive.org/web/20200223/www.uol.com.br"", ""https://web.archive.org/web/20200224/www.uol.com.br"", ""https://web.archive.org/web/20200225/www.uol.com.br"", ""https://web.archive.org/web/20200226/www.uol.com.br"", ""https://web.archive.org/web/20200227/www.uol.com.br"", ""https://web.archive.org/web/20200228/www.uol.com.br"", ""https://web.archive.org/web/20200229/www.uol.com.br""]"
2020,3,"[""https://web.archive.org/web/20200301/www.uol.com.br"", ""https://web.archive.org/web/20200302/www.uol.com.br"", ""https://web.archive.org/web/20200303/www.uol.com.br"", ""https://web.archive.org/web/20200304/www.uol.com.br"", ""https://web.archive.org/web/20200305/www.uol.com.br"", ""https://web.archive.org/web/20200306/www.uol.com.br"", ""https://web.archive.org/web/20200307/www.uol.com.br"", ""https://web.archive.org/web/20200308/www.uol.com.br"", ""https://web.archive.org/web/20200309/www.uol.com.br"", ""https://web.archive.org/web/20200310/www.uol.com.br"", ""https://web.archive.org/web/20200311/www.uol.com.br"", ""https://web.archive.org/web/20200312/www.uol.com.br"", ""https://web.archive.org/web/20200313/www.uol.com.br"", ""https://web.archive.org/web/20200314/www.uol.com.br"", ""https://web.archive.org/web/20200315/www.uol.com.br"", ""https://web.archive.org/web/20200316/www.uol.com.br"", ""https://web.archive.org/web/20200317/www.uol.com.br"", ""https://web.archive.org/web/20200318/www.uol.com.br"", ""https://web.archive.org/web/20200319/www.uol.com.br"", ""https://web.archive.org/web/20200320/www.uol.com.br"", ""https://web.archive.org/web/20200321/www.uol.com.br"", ""https://web.archive.org/web/20200322/www.uol.com.br"", ""https://web.archive.org/web/20200323/www.uol.com.br"", ""https://web.archive.org/web/20200324/www.uol.com.br"", ""https://web.archive.org/web/20200325/www.uol.com.br"", ""https://web.archive.org/web/20200326/www.uol.com.br"", ""https://web.archive.org/web/20200327/www.uol.com.br"", ""https://web.archive.org/web/20200328/www.uol.com.br"", ""https://web.archive.org/web/20200329/www.uol.com.br"", ""https://web.archive.org/web/20200330/www.uol.com.br"", ""https://web.archive.org/web/20200331/www.uol.com.br""]"
2020,4,"[""https://web.archive.org/web/20200401/www.uol.com.br"", ""https://web.archive.org/web/20200402/www.uol.com.br"", ""https://web.archive.org/web/20200403/www.uol.com.br"", ""https://web.archive.org/web/20200404/www.uol.com.br"", ""https://web.archive.org/web/20200405/www.uol.com.br"", ""https://web.archive.org/web/20200406/www.uol.com.br"", ""https://web.archive.org/web/20200407/www.uol.com.br"", ""https://web.archive.org/web/20200408/www.uol.com.br"", ""https://web.archive.org/web/20200409/www.uol.com.br"", ""https://web.archive.org/web/20200410/www.uol.com.br"", ""https://web.archive.org/web/20200411/www.uol.com.br"", ""https://web.archive.org/web/20200412/www.uol.com.br"", ""https://web.archive.org/web/20200413/www.uol.com.br"", ""https://web.archive.org/web/20200414/www.uol.com.br"", ""https://web.archive.org/web/20200415/www.uol.com.br"", ""https://web.archive.org/web/20200416/www.uol.com.br"", ""https://web.archive.org/web/20200417/www.uol.com.br"", ""https://web.archive.org/web/20200418/www.uol.com.br"", ""https://web.archive.org/web/20200419/www.uol.com.br"", ""https://web.archive.org/web/20200420/www.uol.com.br"", ""https://web.archive.org/web/20200421/www.uol.com.br"", ""https://web.archive.org/web/20200422/www.uol.com.br"", ""https://web.archive.org/web/20200423/www.uol.com.br"", ""https://web.archive.org/web/20200424/www.uol.com.br"", ""https://web.archive.org/web/20200425/www.uol.com.br"", ""https://web.archive.org/web/20200426/www.uol.com.br"", ""https://web.archive.org/web/20200427/www.uol.com.br"", ""https://web.archive.org/web/20200428/www.uol.com.br"", ""https://web.archive.org/web/20200429/www.uol.com.br"", ""https://web.archive.org/web/20200430/www.uol.com.br""]"
2020,5,"[""https://web.archive.org/web/20200501/www.uol.com.br"", ""https://web.archive.org/web/20200502/www.uol.com.br"", ""https://web.archive.org/web/20200503/www.uol.com.br"", ""https://web.archive.org/web/20200504/www.uol.com.br"", ""https://web.archive.org/web/20200505/www.uol.com.br"", ""https://web.archive.org/web/20200506/www.uol.com.br"", ""https://web.archive.org/web/20200507/www.uol.com.br"", ""https://web.archive.org/web/20200508/www.uol.com.br"", ""https://web.archive.org/web/20200509/www.uol.com.br"", ""https://web.archive.org/web/20200510/www.uol.com.br"", ""https://web.archive.org/web/20200511/www.uol.com.br"", ""https://web.archive.org/web/20200512/www.uol.com.br"", ""https://web.archive.org/web/20200513/www.uol.com.br"", ""https://web.archive.org/web/20200514/www.uol.com.br"", ""https://web.archive.org/web/20200515/www.uol.com.br"", ""https://web.archive.org/web/20200516/www.uol.com.br"", ""https://web.archive.org/web/20200517/www.uol.com.br"", ""https://web.archive.org/web/20200518/www.uol.com.br"", ""https://web.archive.org/web/20200519/www.uol.com.br"", ""https://web.archive.org/web/20200520/www.uol.com.br"", ""https://web.archive.org/web/20200521/www.uol.com.br"", ""https://web.archive.org/web/20200522/www.uol.com.br"", ""https://web.archive.org/web/20200523/www.uol.com.br"", ""https://web.archive.org/web/20200524/www.uol.com.br"", ""https://web.archive.org/web/20200525/www.uol.com.br"", ""https://web.archive.org/web/20200526/www.uol.com.br"", ""https://web.archive.org/web/20200527/www.uol.com.br"", ""https://web.archive.org/web/20200528/www.uol.com.br"", ""https://web.archive.org/web/20200529/www.uol.com.br"", ""https://web.archive.org/web/20200530/www.uol.com.br"", ""https://web.archive.org/web/20200531/www.uol.com.br""]"
2020,6,"[""https://web.archive.org/web/20200601/www.uol.com.br"", ""https://web.archive.org/web/20200602/www.uol.com.br"", ""https://web.archive.org/web/20200603/www.uol.com.br"", ""https://web.archive.org/web/20200604/www.uol.com.br"", ""https://web.archive.org/web/20200605/www.uol.com.br"", ""https://web.archive.org/web/20200606/www.uol.com.br"", ""https://web.archive.org/web/20200607/www.uol.com.br"", ""https://web.archive.org/web/20200608/www.uol.com.br"", ""https://web.archive.org/web/20200609/www.uol.com.br"", ""https://web.archive.org/web/20200610/www.uol.com.br"", ""https://web.archive.org/web/20200611/www.uol.com.br"", ""https://web.archive.org/web/20200612/www.uol.com.br"", ""https://web.archive.org/web/20200613/www.uol.com.br"", ""https://web.archive.org/web/20200614/www.uol.com.br"", ""https://web.archive.org/web/20200615/www.uol.com.br"", ""https://web.archive.org/web/20200616/www.uol.com.br"", ""https://web.archive.org/web/20200617/www.uol.com.br"", ""https://web.archive.org/web/20200618/www.uol.com.br"", ""https://web.archive.org/web/20200619/www.uol.com.br"", ""https://web.archive.org/web/20200620/www.uol.com.br"", ""https://web.archive.org/web/20200621/www.uol.com.br"", ""https://web.archive.org/web/20200622/www.uol.com.br"", ""https://web.archive.org/web/20200623/www.uol.com.br"", ""https://web.archive.org/web/20200624/www.uol.com.br"", ""https://web.archive.org/web/20200625/www.uol.com.br"", ""https://web.archive.org/web/20200626/www.uol.com.br"", ""https://web.archive.org/web/20200627/www.uol.com.br"", ""https://web.archive.org/web/20200628/www.uol.com.br"", ""https://web.archive.org/web/20200629/www.uol.com.br"", ""https://web.archive.org/web/20200630/www.uol.com.br""]"
2020,7,"[""https://web.archive.org/web/20200701/www.uol.com.br"", ""https://web.archive.org/web/20200702/www.uol.com.br"", ""https://web.archive.org/web/20200703/www.uol.com.br"", ""https://web.archive.org/web/20200704/www.uol.com.br"", ""https://web.archive.org/web/20200705/www.uol.com.br"", ""https://web.archive.org/web/20200706/www.uol.com.br"", ""https://web.archive.org/web/20200707/www.uol.com.br"", ""https://web.archive.org/web/20200708/www.uol.com.br"", ""https://web.archive.org/web/20200709/www.uol.com.br"", ""https://web.archive.org/web/20200710/www.uol.com.br"", ""https://web.archive.org/web/20200711/www.uol.com.br"", ""https://web.archive.org/web/20200712/www.uol.com.br"", ""https://web.archive.org/web/20200713/www.uol.com.br"", ""https://web.archive.org/web/20200714/www.uol.com.br"", ""https://web.archive.org/web/20200715/www.uol.com.br"", ""https://web.archive.org/web/20200716/www.uol.com.br"", ""https://web.archive.org/web/20200717/www.uol.com.br"", ""https://web.archive.org/web/20200718/www.uol.com.br"", ""https://web.archive.org/web/20200719/www.uol.com.br"", ""https://web.archive.org/web/20200720/www.uol.com.br"", ""https://web.archive.org/web/20200721/www.uol.com.br"", ""https://web.archive.org/web/20200722/www.uol.com.br"", ""https://web.archive.org/web/20200723/www.uol.com.br"", ""https://web.archive.org/web/20200724/www.uol.com.br"", ""https://web.archive.org/web/20200725/www.uol.com.br"", ""https://web.archive.org/web/20200726/www.uol.com.br"", ""https://web.archive.org/web/20200727/www.uol.com.br"", ""https://web.archive.org/web/20200728/www.uol.com.br"", ""https://web.archive.org/web/20200729/www.uol.com.br"", ""https://web.archive.org/web/20200730/www.uol.com.br"", ""https://web.archive.org/web/20200731/www.uol.com.br""]"
2020,8,"[""https://web.archive.org/web/20200801/www.uol.com.br"", ""https://web.archive.org/web/20200802/www.uol.com.br"", ""https://web.archive.org/web/20200803/www.uol.com.br"", ""https://web.archive.org/web/20200804/www.uol.com.br"", ""https://web.archive.org/web/20200805/www.uol.com.br"", ""https://web.archive.org/web/20200806/www.uol.com.br"", ""https://web.archive.org/web/20200807/www.uol.com.br"", ""https://web.archive.org/web/20200808/www.uol.com.br"", ""https://web.archive.org/web/20200809/www.uol.com.br"", ""https://web.archive.org/web/20200810/www.uol.com.br"", ""https://web.archive.org/web/20200811/www.uol.com.br"", ""https://web.archive.org/web/20200812/www.uol.com.br"", ""https://web.archive.org/web/20200813/www.uol.com.br"", ""https://web.archive.org/web/20200814/www.uol.com.br"", ""https://web.archive.org/web/20200815/www.uol.com.br"", ""https://web.archive.org/web/20200816/www.uol.com.br"", ""https://web.archive.org/web/20200817/www.uol.com.br"", ""https://web.archive.org/web/20200818/www.uol.com.br"", ""https://web.archive.org/web/20200819/www.uol.com.br"", ""https://web.archive.org/web/20200820/www.uol.com.br"", ""https://web.archive.org/web/20200821/www.uol.com.br"", ""https://web.archive.org/web/20200822/www.uol.com.br"", ""https://web.archive.org/web/20200823/www.uol.com.br"", ""https://web.archive.org/web/20200824/www.uol.com.br"", ""https://web.archive.org/web/20200825/www.uol.com.br"", ""https://web.archive.org/web/20200826/www.uol.com.br"", ""https://web.archive.org/web/20200827/www.uol.com.br"", ""https://web.archive.org/web/20200828/www.uol.com.br"", ""https://web.archive.org/web/20200829/www.uol.com.br"", ""https://web.archive.org/web/20200830/www.uol.com.br"", ""https://web.archive.org/web/20200831/www.uol.com.br""]"
2020,9,"[""https://web.archive.org/web/20200901/www.uol.com.br"", ""https://web.archive.org/web/20200902/www.uol.com.br"", ""https://web.archive.org/web/20200903/www.uol.com.br"", ""https://web.archive.org/web/20200904/www.uol.com.br"", ""https://web.archive.org/web/20200905/www.uol.com.br"", ""https://web.archive.org/web/20200906/www.uol.com.br"", ""https://web.archive.org/web/20200907/www.uol.com.br"", ""https://web.archive.org/web/20200908/www.uol.com.br"", ""https://web.archive.org/web/20200909/www.uol.com.br"", ""https://web.archive.org/web/20200910/www.uol.com.br"", ""https://web.archive.org/web/20200911/www.uol.com.br"", ""https://web.archive.org/web/20200912/www.uol.com.br"", ""https://web.archive.org/web/20200913/www.uol.com.br"", ""https://web.archive.org/web/20200914/www.uol.com.br"", ""https://web.archive.org/web/20200915/www.uol.com.br"", ""https://web.archive.org/web/20200916/www.uol.com.br"", ""https://web.archive.org/web/20200917/www.uol.com.br"", ""https://web.archive.org/web/20200918/www.uol.com.br"", ""https://web.archive.org/web/20200919/www.uol.com.br"", ""https://web.archive.org/web/20200920/www.uol.com.br"", ""https://web.archive.org/web/20200921/www.uol.com.br"", ""https://web.archive.org/web/20200922/www.uol.com.br"", ""https://web.archive.org/web/20200923/www.uol.com.br"", ""https://web.archive.org/web/20200924/www.uol.com.br"", ""https://web.archive.org/web/20200925/www.uol.com.br"", ""https://web.archive.org/web/20200926/www.uol.com.br"", ""https://web.archive.org/web/20200927/www.uol.com.br"", ""https://web.archive.org/web/20200928/www.uol.com.br"", ""https://web.archive.org/web/20200929/www.uol.com.br"", ""https://web.archive.org/web/20200930/www.uol.com.br""]"
2020,10,"[""https://web.archive.org/web/20201001/www.uol.com.br"", ""https://web.archive.org/web/20201002/www.uol.com.br"", ""https://web.archive.org/web/20201003/www.uol.com.br"", ""https://web.archive.org/web/20201004/www.uol.com.br"", ""https://web.archive.org/web/20201005/www.uol.com.br"", ""https://web.archive.org/web/20201006/www.uol.com.br"", ""https://web.archive.org/web/20201007/www.uol.com.br"", ""https://web.archive.org/web/20201008/www.uol.com.br"", ""https://web.archive.org/web/20201009/www.uol.com.br"", ""https://web.archive.org/web/20201010/www.uol.com.br"", ""https://web.archive.org/web/20201011/www.uol.com.br"", ""https://web.archive.org/web/20201012/www.uol.com.br"", ""https://web.archive.org/web/20201013/www.uol.com.br"", ""https://web.archive.org/web/20201014/www.uol.com.br"", ""https://web.archive.org/web/20201015/www.uol.com.br"", ""https://web.archive.org/web/20201016/www.uol.com.br"", ""https://web.archive.org/web/20201017/www.uol.com.br"", ""https://web.archive.org/web/20201018/www.uol.com.br"", ""https://web.archive.org/web/20201019/www.uol.com.br"", ""https://web.archive.org/web/20201020/www.uol.com.br"", ""https://web.archive.org/web/20201021/www.uol.com.br"", ""https://web.archive.org/web/20201022/www.uol.com.br"", ""https://web.archive.org/web/20201023/www.uol.com.br"", ""https://web.archive.org/web/20201024/www.uol.com.br"", ""https://web.archive.org/web/20201025/www.uol.com.br"", ""https://web.archive.org/web/20201026/www.uol.com.br"", ""https://web.archive.org/web/20201027/www.uol.com.br"", ""https://web.archive.org/web/20201028/www.uol.com.br"", ""https://web.archive.org/web/20201029/www.uol.com.br"", ""https://web.archive.org/web/20201030/www.uol.com.br"", ""https://web.archive.org/web/20201031/www.uol.com.br""]"
